Organ,To Date,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Kidney,"164,004",392.0,"5,234","6,867","6,442","5,811","5,629","5,628","5,538","5,733","5,619","5,773","6,278","6,387","5,968","6,043","6,435","6,572","6,648","6,470","6,241","6,045","5,505","4,723","4,420","3,933","3,679","3,389","3,007","2,851","2,534","2,396","2,094","1,903","1,817"
Liver,"7,842",41.0,491,524,401,367,345,359,280,252,246,247,282,219,249,266,288,323,323,322,363,524,406,258,92,88,65,54,60,36,33,22,14,2,0
Pancreas,24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,2,3,1,2,4,5
Kidney / Pancreas,48,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,0,3,6,7,2,6,10,6,2,0,0,0,0,0,0
Heart,43,0.0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,1,4,12,9,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
